lgd_state_code,lgd_district_code,lgd_state_name,lgd_district_name,soi_objectid,soi_state_lgd,soi_dist_lgd,soi_state_name,soi_district_name,match_method,confidence,verification_status
22,734,Chhattisgarh,Gaurela-Pendra-Marwahi,116,22,669,CHHATTISGARH,GAURELA-PENDRA-MARWAHI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
20,329,Jharkhand,Giridih,753,20,349,JHARKHAND,GIRIDIH,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
24,675,Gujarat,Gir Somnath,204,24,652,GUJARAT,GIR SOMNATH,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
18,287,Assam,Goalpara,427,18,302,ASSAM,GOALPARA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
27,476,Maharashtra,Gondia,541,27,507,MAHARASHTRA,GONDIA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
28,506,Andhra Pradesh,Guntur,681,28,548,ANDHRA PRADESH,Guntur,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
18,709,Assam,Hojai,431,18,720,ASSAM,HOJAI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
3,33,Punjab,Hoshiarpur,256,03,038,PUNJAB,HOSHIARPUR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
14,256,Manipur,Imphal West,441,14,277,MANIPUR,IMPHAL WEST,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,411,Madhya Pradesh,Jabalpur,592,23,451,MADHYA PRADESH,JABALPUR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
3,34,Punjab,Jalandhar,252,03,037,PUNJAB,JALANDHAR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
27,478,Maharashtra,Jalgaon,543,27,499,MAHARASHTRA,JALGAON,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
1,5,Jammu And Kashmir,Jammu,25,01,021,JAMMU AND KASHMIR,JAMMU,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
36,695,Telangana,Jogulamba Gadwal,646,36,744,TELANGANA,JOGULAMBA GADWAL,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
14,711,Manipur,Kakching,443,14,651,MANIPUR,KAKCHING,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
29,538,Karnataka,Kalaburagi,360,29,579,KARNATAKA,Kalaburagi,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
14,712,Manipur,Kangpokpi,445,14,679,MANIPUR,KANGPOKPI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
